obsid,uid,gp_id,designation,obsdate,lmjd,mjd,planid,spid,fiberid,ra_obs,dec_obs,snru,snrg,snrr,snri,snrz,class,subclass,z,z_err,ps_id,mag_ps_g,mag_ps_r,mag_ps_i,mag_ps_z,mag_ps_y,gaia_source_id,gaia_g_mean_mag,fibertype,offsets,offsets_v,ra,dec,fibermask,with_norm_flux,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra_gedr3,ra_error,dec_gedr3,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,angDist,rv_opt,rv_err,rv_best,ccfmax,success,imod,status
402029,G17189675372636,368668688334817792,J003802.80+391931.9,2011-10-24,55859,55858,M5901,2,29,9.5117034,39.32553,1.7799999713897705,6.079999923706055,6.590000152587891,7.070000171661377,2.130000114440918,QSO,Non,1.0926560163497925,0.011231999844312668,155190095116851256,17.979299545288086,17.63450050354004,17.763500213623047,17.74090003967285,17.65089988708496,368668688334817792,17.81608009338379,Obj,0,0.0,9.5117034,39.32553,0,0,9.51170013269,39.32552304095,0.0020308000966906548,0.0013991999439895153,95.66000366210938,368668688334817792,9.51169884063,0.1126,39.32552294155,0.0741,-0.0466,0.1115,-0.4177,0.226,-0.225,0.122,-0.022,0.086,312,-0.6475,302.57,0.0,0.0,31,,,18,0.973,False,1407.71,3.23132,17.81608,842.785,14.2052,18.02425,808.134,17.479187,1.173,0.545063,,,0,,,155190095116851256,1237659930534543466,,647008152,0.003715,0.018512,0.015682,17.81608,0.003715,1407.71,-0.009,2.0256,1.4067,-0.0746,0.026654,-111.60562133789062,nan,-110.0,0.11067710805405175,True,539,0
403043,G17323967197218,381118222275732864,J003913.02+401655.5,2011-10-24,55859,55858,M5901,3,43,9.80425,40.282111,2.240000009536743,8.279999732971191,7.829999923706055,8.800000190734863,4.519999980926514,STAR,F5,-0.0016822799807414412,1.2520000382210128e-05,156330098042129112,18.274599075317383,18.421600341796875,18.608400344848633,18.768600463867188,18.85810089111328,381118222275732864,18.313011169433594,Obj,0,0.0,9.80425,40.282111,128,0,9.80422730827,40.2820716131,0.002519099973142147,0.0018497999990358949,91.54000091552734,381118222275732864,9.80422792941,0.1366,40.28207096518,0.0959,-0.1725,0.1524,-1.1322,0.181,0.107,0.152,-0.146,0.113,352,-0.2852,353.93,0.0,0.0,31,,,19,0.988,False,890.722,1.67204,18.313011,641.427,10.324,18.320673,384.684,18.285135,1.152,0.035538,,,0,,,156330098042129112,1237659931071807572,,652008844,0.003427,0.017697,0.024843,18.313011,0.003427,890.722,-0.004,2.5187,1.8504,-0.0168,0.154883,-529.5940246582031,nan,-530.0,0.19877411844447979,True,439,0
403126,G17324358436801,381275482500485888,J004133.42+411404.4,2011-10-24,55859,55858,M5901,3,126,10.38925,41.234556,0.10000000149011612,3.0399999618530273,5.550000190734863,10.350000381469727,8.15999984741211,STAR,K5,-0.001035389956086874,4.804000127478503e-05,157480103893192122,18.88629913330078,18.952699661254883,19.25,19.556100845336914,19.741500854492188,381275482500485888,18.868717193603516,Obj,0,0.0,10.38925,41.234556,0,0,10.38928631657,41.23453478644,0.003958300221711397,0.0032599999103695154,97.61000061035156,381275482500485888,10.38928860351,0.2174,41.23453547175,0.1606,-0.174,0.2362,-0.7366,0.417,0.387,0.238,0.154,0.2,311,1.2162,350.76,0.476,0.9586,95,1.7027,0.0527,19,1.049,False,533.639,1.24223,18.869247,401.755,7.63201,18.82864,210.041,18.942135,1.146,-0.113495,,,0,,,157480103893192122,,,,0.003739,0.020813,0.062634,18.868715,0.003738,533.901,-0.004,3.9472,3.2735,-0.0512,0.124494,-404.50284004211426,nan,-410.0,0.19238830857886233,True,345,0
403148,L17324370356355,403148,J004202.86+411434.5,2011-10-24,55859,55858,M5901,3,148,10.511917,41.242944,3.130000114440918,16.260000228881836,25.209999084472656,41.34000015258789,31.229999542236328,STAR,G8,-0.0011828516144305468,2.2749100025976077e-05,157490105122961962,-999.0,-999.0,20.154199600219727,-999.0,-999.0,381263250433640832,18.050607681274414,Obj,0,0.0,10.511917,41.242944,0,1,10.5118240949,41.24292445306,0.00245820009149611,0.0019419000018388033,103.9000015258789,381263250433640832,10.51182489887,0.1355,41.24292436954,0.1063,-0.0261,0.1587,-0.1647,0.137,0.136,0.147,-0.019,0.12,307,2.163,372.17,0.409,1.692,95,1.5921,0.033,19,1.088,False,1135.85,2.15196,18.049067,785.34,17.359,18.100899,658.735,17.701118,1.271,0.39978,,,0,,,157490105118312154,,,657010270,0.003438,0.024161,0.047947,18.050607,0.00344,1134.24,0.098,2.4314,1.9754,-0.1103,0.261146,-357.05810546875,nan,-350.0,0.4652075117264429,True,389,0
403151,G17323949425560,381148110951080192,J003903.90+404625.8,2011-10-24,55859,55858,M5901,3,151,9.7662761,40.773854,0.07000000029802322,3.009999990463257,3.430000066757202,4.010000228881836,2.809999942779541,STAR,F0,-0.0012919900473207235,2.1899999410379678e-05,156920097667748831,-999.0,-999.0,-999.0,20.537900924682617,-999.0,381148110951080192,18.349180221557617,Obj,0,0.0,9.7662761,40.773854,2,0,9.76624195639,40.77388188136,0.0022219999227672815,0.002031200099736452,58.439998626708984,381148110951080192,9.76624086548,0.1223,40.77388109355,0.1085,-0.1972,0.1632,-1.2086,0.257,-0.186,0.133,-0.177,0.127,317,0.9144,349.72,0.0,0.0,31,,,17,1.036,False,861.539,1.37897,18.34918,509.069,10.1564,18.571602,461.151,18.088287,1.126,0.483315,,,0,,,156920097662059293,1237659931608809910,,654009016,0.003258,0.02184,0.024959,18.34918,0.003258,861.539,-0.052,2.1714,2.0852,0.0799,0.136892,-461.60841369628906,nan,-460.0,0.2114829519345997,True,671,0
403173,G17323924201385,381132103609981184,J003948.28+403856.3,2011-10-24,55859,55858,M5901,3,173,9.9511671,40.648998,0.0,1.6399999856948853,2.799999952316284,4.659999847412109,3.2200000286102295,STAR,DoubleStar,0.0013958100462332368,6.476000271504745e-05,156770099508329573,-999.0,-999.0,-999.0,-999.0,-999.0,381132103609981184,17.69159507751465,Obj,0,0.0,9.9511671,40.648998,0,0,9.95116068939,40.64895202271,0.001576000009663403,0.0012919999426230788,76.94000244140625,381132103609981184,9.95116090174,0.0906,40.64895250242,0.0732,-0.0275,0.1134,-0.2428,0.114,0.036,0.095,0.108,0.08,270,-0.5476,262.51,0.0,0.0,31,,,18,0.975,False,1578.73,1.73554,17.691595,752.688,10.5426,18.147005,1155.51,17.090961,1.209,1.056044,,,0,,,156770099511879369,,,654009196,0.003003,0.015461,0.012932,17.691595,0.003003,1578.73,-0.013,1.5627,1.308,0.0877,0.166442,408.7606658935547,nan,410.0,0.08200540749612224,True,293,0
403186,G17323921546699,381119901605177216,J003954.94+402405.2,2011-10-24,55859,55858,M5901,3,186,9.9789557,40.401472,0.8600000143051147,4.320000171661377,3.609999895095825,4.440000057220459,2.5399999618530273,STAR,A2,-0.0014236000133678317,4.6680001105414703e-05,156480099792672702,-999.0,-999.0,-999.0,-999.0,-999.0,381119901605177216,18.71086311340332,Obj,0,0.0,9.9789557,40.401472,0,0,9.97891694499,40.40148534896,0.0033239000476896763,0.0025947000831365585,98.0199966430664,381119901605177216,9.97891691957,0.1767,40.40148708479,0.1457,0.0439,0.2013,0.218,0.391,-0.004,0.2,0.391,0.158,291,-1.4732,262.89,0.0,0.0,31,,,19,0.938,False,617.45,1.3016,18.710863,429.243,9.81072,18.756783,289.162,18.595041,1.164,0.161741,,,0,,,156480099789362435,,,,0.003582,0.024972,0.032907,18.710863,0.003582,617.45,0.003,3.3112,2.6109,-0.069,0.116609,-531.1395311355591,nan,-530.0,0.1344160670654918,True,459,0
403190,L17324651543660,403190,J004051.58+403303.0,2011-10-24,55859,55858,M5901,3,190,10.214958,40.550835,8.369999885559082,24.260000228881836,26.030000686645508,31.540000915527344,18.399999618530273,STAR,F5,-0.0014651099918410182,3.1200001103570685e-05,156660102148681561,16.941600799560547,16.831100463867188,16.859899520874023,16.911300659179688,16.88249969482422,369118835268460544,16.98825454711914,Obj,0,0.0,10.214958,40.550835,0,0,10.21489270988,40.55079155225,0.0010870000114664435,0.000874800025485456,83.3499984741211,369118835268460544,10.21489315868,0.0587,40.55079106078,0.0419,0.0446,0.0678,0.6583,0.135,0.077,0.066,-0.111,0.054,336,-0.9073,319.81,0.0,2.209e-15,31,,,19,0.964,False,3017.48,10.599,16.988255,1934.59,21.8888,17.12207,1758.95,16.63476,1.224,0.48731,,,0,,,156660102148681561,,,653009534,0.004705,0.012597,0.017515,16.988255,0.004705,3017.48,0.046,1.0844,0.878,0.0503,0.237403,-539.5089626312256,nan,-540.0,0.12216353650511087,True,539,0
403191,G17323924524733,381130729220455296,J003943.43+403524.8,2011-10-24,55859,55858,M5901,3,191,9.9309587,40.590248,4.300000190734863,19.1200008392334,20.06999969482422,22.709999084472656,13.649999618530273,STAR,F0,-0.0016737700207158923,1.0409999958937988e-05,156700099307609310,-999.0,-999.0,-999.0,-999.0,-999.0,381130729220455296,17.166797637939453,Obj,0,0.0,9.9309587,40.590248,0,0,9.93087231616,40.59023611995,0.0012549000093713403,0.000993699999526143,78.0199966430664,381130729220455296,9.93087362221,0.0758,40.59023677796,0.0571,0.0846,0.091,0.9298,0.268,0.223,0.075,0.148,0.061,273,0.9268,300.87,0.0,0.0,31,,,18,1.039,False,2559.93,2.52514,17.166798,1633.82,9.60344,17.305534,1410.48,16.87448,1.189,0.431055,,,0,,,156700099309038909,,,653009032,0.002956,0.006965,0.009881,17.166798,0.002956,2559.93,0.014,1.2448,1.0063,0.0952,0.239996,-522.1837921142578,nan,-520.0,0.6511280327054768,True,548,0
403196,G17323933697221,381121142853473024,J003953.55+402827.6,2011-10-24,55859,55858,M5901,3,196,9.9731255,40.474361,0.33000001311302185,4.670000076293945,9.399999618530273,14.930000305175781,9.670000076293945,STAR,G5,-0.0018001500284299254,9.540000064589549e-06,156560099735359628,-999.0,-999.0,-999.0,-999.0,-999.0,381121142853473024,17.721921920776367,Obj,0,0.0,9.9731255,40.474361,0,0,9.97309312117,40.47432607251,0.0020641000010073185,0.001207199995405972,98.70999908447266,381121142853473024,9.97309191834,0.1164,40.47432562743,0.0692,-0.0858,0.113,-0.7594,0.229,-0.206,0.123,-0.1,0.075,291,-1.1804,270.28,0.0,0.0,95,1.4146,0.0223,19,0.95,False,1532.56,25.6436,17.72382,611.366,37.3925,18.37279,1494.42,16.81171,1.374,1.561079,,,0,,,156560099731169814,,,653009085,0.018375,0.066465,0.041395,17.721906,0.018343,1535.27,0.096,2.0484,1.2335,-0.1661,0.153859,-549.1197490692139,nan,-550.0,0.33527210407404534,True,145,0
